,reqID,inputs,"Text2SpeechCensoringWorkflow_GetInput, Cost","Text2SpeechCensoringWorkflow_GetInput, Latency","Text2SpeechCensoringWorkflow_Profanity, Cost","Text2SpeechCensoringWorkflow_Profanity, Latency","Text2SpeechCensoringWorkflow_Text2Speech, Cost","Text2SpeechCensoringWorkflow_Text2Speech, Latency","Text2SpeechCensoringWorkflow_Conversion, Cost","Text2SpeechCensoringWorkflow_Conversion, Latency","Text2SpeechCensoringWorkflow_Compression, Cost","Text2SpeechCensoringWorkflow_Compression, Latency","Text2SpeechCensoringWorkflow_Censor, Cost","Text2SpeechCensoringWorkflow_Censor, Latency","Text2SpeechCensoringWorkflow_MergedFunction, Cost","Text2SpeechCensoringWorkflow_MergedFunction, Latency",Text2SpeechCensoringWorkflow_GetInput-Text2SpeechCensoringWorkflow_Profanity,Text2SpeechCensoringWorkflow_GetInput-Text2SpeechCensoringWorkflow_Text2Speech,Text2SpeechCensoringWorkflow_Profanity-Text2SpeechCensoringWorkflow_MergedFunction,Text2SpeechCensoringWorkflow_Text2Speech-Text2SpeechCensoringWorkflow_Conversion,Text2SpeechCensoringWorkflow_Conversion-Text2SpeechCensoringWorkflow_Compression,Text2SpeechCensoringWorkflow_Compression-Text2SpeechCensoringWorkflow_MergedFunction,Text2SpeechCensoringWorkflow_MergedFunction-Text2SpeechCensoringWorkflow_Censor
0,82287283694d4c15bf5cc85af8e4a733,"Ach it was hopeless. That was what ye felt. These bastards. What can ye do but. Except start again so he started again. That was what he did he started again … ye just plough on, ye plough on, ye just fucking plough on … ye just fucking push ahead, ye get fucking on with it",128.0,128.0,265.0,265.0,589.0,589.0,532.0,532.0,417.0,417.0,730.0,730.0,213.0,106.0,4.0,994.0,951.0,2.0,684.0,2.0,991.0
1,010339be0280447cb88cbb0fc2fe2795,"Ach it was hopeless. That was what ye felt. These bastards. What can ye do but. Except start again so he started again. That was what he did he started again … ye just plough on, ye plough on, ye just fucking plough on … ye just fucking push ahead, ye get fucking on with it",46.0,46.0,25.0,25.0,53.0,53.0,266.0,266.0,412.0,412.0,614.0,614.0,183.0,88.0,1.0,291.0,159.0,168.0,994.0,1.0,984.0
2,37a53e7b4240467a8e97c5437941c13e,"Ach it was hopeless. That was what ye felt. These bastards. What can ye do but. Except start again so he started again. That was what he did he started again … ye just plough on, ye plough on, ye just fucking plough on … ye just fucking push ahead, ye get fucking on with it",41.0,41.0,24.0,24.0,483.0,483.0,237.0,237.0,401.0,401.0,746.0,746.0,196.0,120.0,1.0,991.0,93.0,5.0,0.0,1.0,977.0
3,8a0e29f5c234479b98417fa43ca14c08,"Ach it was hopeless. That was what ye felt. These bastards. What can ye do but. Except start again so he started again. That was what he did he started again … ye just plough on, ye plough on, ye just fucking plough on … ye just fucking push ahead, ye get fucking on with it",44.0,44.0,23.0,23.0,571.0,571.0,327.0,327.0,407.0,407.0,223.0,223.0,224.0,154.0,1.0,990.0,275.0,2.0,1.0,1.0,944.0
4,3f8b8d4ef18547dcb062805c7936bfa4,"Ach it was hopeless. That was what ye felt. These bastards. What can ye do but. Except start again so he started again. That was what he did he started again … ye just plough on, ye plough on, ye just fucking plough on … ye just fucking push ahead, ye get fucking on with it",243.0,243.0,25.0,25.0,506.0,506.0,253.0,253.0,428.0,428.0,444.0,444.0,165.0,69.0,1.0,843.0,528.0,523.0,0.0,1.0,990.0
5,d351e63b906b4967881799c7fbd4fa03,"Ach it was hopeless. That was what ye felt. These bastards. What can ye do but. Except start again so he started again. That was what he did he started again … ye just plough on, ye plough on, ye just fucking plough on … ye just fucking push ahead, ye get fucking on with it",43.0,43.0,24.0,24.0,492.0,492.0,333.0,333.0,387.0,387.0,846.0,846.0,212.0,152.0,1.0,988.0,179.0,999.0,5.0,0.0,329.0
6,137e8bb73c7744018fe73b23f04ae8bb,"Ach it was hopeless. That was what ye felt. These bastards. What can ye do but. Except start again so he started again. That was what he did he started again … ye just plough on, ye plough on, ye just fucking plough on … ye just fucking push ahead, ye get fucking on with it",29.0,29.0,34.0,34.0,595.0,595.0,682.0,682.0,377.0,377.0,587.0,587.0,267.0,148.0,0.0,994.0,918.0,308.0,996.0,0.0,263.0
7,c0744cb5c34d4a569c0a3b0cb98336ca,"Ach it was hopeless. That was what ye felt. These bastards. What can ye do but. Except start again so he started again. That was what he did he started again … ye just plough on, ye plough on, ye just fucking plough on … ye just fucking push ahead, ye get fucking on with it",32.0,32.0,29.0,29.0,472.0,472.0,176.0,176.0,402.0,402.0,357.0,357.0,215.0,100.0,1.0,319.0,903.0,562.0,1.0,1.0,984.0
8,28fe7d7eb4784cc99ed397b76831b6a7,"Ach it was hopeless. That was what ye felt. These bastards. What can ye do but. Except start again so he started again. That was what he did he started again … ye just plough on, ye plough on, ye just fucking plough on … ye just fucking push ahead, ye get fucking on with it",27.0,27.0,28.0,28.0,485.0,485.0,342.0,342.0,384.0,384.0,400.0,400.0,179.0,114.0,3.0,998.0,181.0,2.0,0.0,1.0,986.0
9,8268959932ce465d955c1cda0450734e,"Ach it was hopeless. That was what ye felt. These bastards. What can ye do but. Except start again so he started again. That was what he did he started again … ye just plough on, ye plough on, ye just fucking plough on … ye just fucking push ahead, ye get fucking on with it",33.0,33.0,23.0,23.0,441.0,441.0,350.0,350.0,414.0,414.0,361.0,361.0,145.0,93.0,2.0,997.0,181.0,2.0,1.0,1.0,990.0
